Plaza,Local_Consolidado,Fecha,Organico,Inorganico,Carton,Aluminio,Archivo,Plastico_Duro,Pet,Playo,Vidrio,Tetra_Pak,Chatarra
Plaza Américas_Malecón,Dragón Feliz (Malecón),1/9/2024,21.00,29.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Lucky (Malecón),1/9/2024,7.00,17.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Argentina,1/9/2024,0.00,19.02,1.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Quekas,1/9/2024,0.00,4.60,0.00,0.00,0.00,0.00,1.60,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Olive Garden,1/9/2024,0.00,36.08,2.60,0.00,0.00,0.00,0.00,0.00,2.60,0.00,0.00
Plaza Américas_Malecón,Subway,1/9/2024,0.00,2.10,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Alabama Mamma,1/9/2024,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,KFC,1/9/2024,0.00,12.10,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Palapita Express,1/9/2024,0.00,17.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Italian Steak,1/9/2024,0.00,38.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Bubba You (Malecón),1/9/2024,17.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Sunright Tea,1/9/2024,3.18,0.50,0.00,0.00,0.00,0.75,0.56,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Buba You (Américas),1/9/2024,12.85,3.73,0.00,0.00,0.00,0.84,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Monkey Papas,1/9/2024,0.00,3.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Carls Jr,1/9/2024,1.87,5.00,5.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Sushi Roll,1/9/2024,46.70,11.56,1.07,0.00,0.00,0.44,1.72,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Johnny Rockets,1/9/2024,8.72,8.18,0.00,0.00,2.24,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Hooters,1/9/2024,4.69,8.27,0.00,2.17,0.00,0.00,0.00,0.00,12.89,0.00,0.00
Plaza Américas_Malecón,La Palapita,1/9/2024,2.43,2.55,0.00,0.00,0.00,2.55,0.00,0.00,7.72,0.00,0.00
Plaza Américas_Malecón,La Taberna,2/9/2024,26.25,26.25,0.00,0.00,0.00,0.00,1.32,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Toks,2/9/2024,16.52,12.78,5.72,0.00,0.00,0.86,0.00,0.00,0.56,0.00,0.00
Plaza Américas_Malecón,Babu Té,2/9/2024,0.00,2.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Carls Jr,2/9/2024,0.00,2.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Lucky (Américas),2/9/2024,0.00,4.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Toks,2/9/2024,9.58,39.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Carls Jr,2/9/2024,34.53,12.20,6.48,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Dragón Feliz (Malecón),2/9/2024,5.94,27.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Italian Steak,2/9/2024,12.48,4.20,0.00,1.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,KFC,2/9/2024,8.76,4.24,5.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Luna,2/9/2024,0.00,1.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Bubba You (Malecón),2/9/2024,6.34,3.98,0.00,1.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Karukay Sushi,2/9/2024,5.74,2.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Lucky (Malecón),2/9/2024,13.44,11.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
